"Zeitstempel","Dein Alter","Dein Wohnort ","Die Sprachen, die Du bevorzugst zu sprechen","Welche Plattform bevorzugst Du für die Kommunikation mit anderen?","Deine Top 3 Games (1/3)","Deine Top 3 Games (2/3)","Deine Top 3 Games (3/3)","Wie lange spielst Du in einer Woche (im Durchschnitt)?","Wie schätz Du dich beim zocken ein?","Deine Freizeitaktivitäten sind.. (1/3)","Deine Freizeitaktivitäten sind.. (2/3)","Deine Freizeitaktivitäten sind.. (3/3)"
"2021/10/04 3:44:16 PM MEZ","32","Hessen","Deutsch","PS Party","Dead By Daylight","Minecraft","Grand Theft Auto (GTA) Online","16 - 20 Stunden","1","Keine weiteren","Keine weiteren","Keine weiteren"
"2021/10/04 4:54:25 PM MEZ","26","Freiberg am Neckar","Deutsch","PS Party","Call of Duty (COD)","Grand Theft Auto (GTA) Online","Destiny","Weniger als 10 Stunden","8","Animes schauen","Sport","Kinos besuchen"
"2021/10/04 7:09:29 PM MEZ","28","Stuttgart","Deutsch","Andere Plattformen","Call of Duty (COD)","FIFA","Keine weiteren Spiele","Weniger als 10 Stunden","4","Sport","Netflix schauen","Animes schauen"
"2021/10/05 12:50:04 AM MEZ","32","München","Deutsch","PS Party","Andere Spiele","Andere Spiele","Andere Spiele","16 - 20 Stunden","9","mit Freunden ausgehen","Verreisen","Musik"
"2021/10/05 4:36:09 AM MEZ","29","Saarbrücken","Deutsch","Andere Plattformen","Rocket league","Andere Spiele","Andere Spiele","10 - 15 Stunden","7","Andere","Andere","Andere"
"2021/10/05 8:51:33 AM MEZ","28","Bad Schwartau ","Deutsch","PS Party","Grand Theft Auto (GTA) Online","Call of Duty (COD)","Andere Spiele","Weniger als 10 Stunden","7","Sport","mit Freunden ausgehen","Netflix schauen"
"2021/10/05 8:53:40 AM MEZ","25","Garrel ","Deutsch","PS Party","Rocket league","Call of Duty (COD)","Andere Spiele","10 - 15 Stunden","5","Animes schauen","Musik","mit Freunden ausgehen"
"2021/10/05 8:58:37 AM MEZ","27","Frankfurt ","Englisch","Discord","Dead By Daylight","Andere Spiele","Minecraft","10 - 15 Stunden","8","Sport","Lesen","Animes schauen"
"2021/10/05 8:58:51 AM MEZ","34","Recklinghausen ","Deutsch","Andere Plattformen","Call of Duty (COD)","Battlefield","NBA","Weniger als 10 Stunden","7","Sport","Animes schauen","Musik"
"2021/10/05 9:14:24 AM MEZ","29","Stuttgart","Deutsch","Discord","APEX","Andere Spiele","Andere Spiele","10 - 15 Stunden","7","Netflix schauen","mit Freunden ausgehen","Lesen"
"2021/10/05 9:21:56 AM MEZ","31","Essen","Deutsch","PS Party","Call of Duty (COD)","Andere Spiele","Tekken","Mehr als 26 Stunden","7","Sport","Animes schauen","Kochen/Backen"
"2021/10/05 10:00:57 AM MEZ","21","Lüdenscheid","Deutsch","PS Party","FIFA","Final Fantasy Online","Andere Spiele","10 - 15 Stunden","4","Animes schauen","Lesen","Netflix schauen"
"2021/10/05 10:17:10 AM MEZ","32","Bernau","Deutsch","PS Party","Andere Spiele","Andere Spiele","Andere Spiele","Mehr als 26 Stunden","10","Essen (Foodie)","Netflix schauen","Musik"
"2021/10/05 10:34:27 AM MEZ","19","Ludwigshafen","Deutsch","Discord","Dead By Daylight","Rocket league","Andere Spiele","Mehr als 26 Stunden","8","Sport","mit Freunden ausgehen","Netflix schauen"
"2021/10/05 11:30:48 AM MEZ","28","Deutschland","Deutsch","PS Party","Andere Spiele","Keine weiteren Spiele","Keine weiteren Spiele","10 - 15 Stunden","7","Animes schauen","Musik","Lesen"
"2021/10/05 11:54:10 AM MEZ","26","Würzburg","Deutsch","Andere Plattformen","Rocket league","Minecraft","Andere Spiele","Mehr als 26 Stunden","7","Animes schauen","Netflix schauen","Musik"
"2021/10/05 12:01:48 PM MEZ","24","Nordrhein Westfalen","Deutsch","Discord","Final Fantasy Online","Keine weiteren Spiele","Keine weiteren Spiele","10 - 15 Stunden","5","Animes schauen","Sport","Lesen"
"2021/10/05 1:00:29 PM MEZ","23","Siegburg","Deutsch","PS Party","Rocket league","FIFA","Andere Spiele","21 - 25 Stunden","7","mit Freunden ausgehen","Essen (Foodie)","Netflix schauen"
"2021/10/05 1:52:17 PM MEZ","35","Rackwitz ","Deutsch","PS Party","Call of Duty (COD)","Final Fantasy Online","Andere Spiele","16 - 20 Stunden","6","Animes schauen","Netflix schauen","Musik"
"2021/10/05 7:34:05 PM MEZ","29","Wuppertal","Deutsch","Discord","Call of Duty (COD)","Dead By Daylight","Andere Spiele","Weniger als 10 Stunden","6","Lesen","Netflix schauen","mit Freunden ausgehen"
"2021/10/06 9:11:48 AM MEZ","20","München","Deutsch","PS Party","Call of Duty (COD)","Battlefield","Grand Theft Auto (GTA) Online","Weniger als 10 Stunden","10","Sport","mit Freunden ausgehen","Sport"
"2021/10/07 7:08:14 AM MEZ","23","Backnang","Deutsch","Discord","Call of Duty (COD)","APEX","Andere Spiele","Weniger als 10 Stunden","5","Sport","Verreisen","mit Freunden ausgehen"
"2021/10/07 11:22:42 AM MEZ","27","Stuttgart","Deutsch","Discord","Call of Duty (COD)","Andere Spiele","Destiny","10 - 15 Stunden","7","Animes schauen","mit Freunden ausgehen","Sport"
